Q,A,Context,label
" Alright, but under one condition."," (happy) look at you, you beautiful bastard, you suited up! This is totally going in my blog!"," Alright, but under one condition. |  (To Ranjit-Cabdriver) Stop the car. Uh-pull over right here. I gotta do something.",1
 (Exhales) Okay. Moment of truth. Wish me luck. (Exhales), Ted's goanna get it on with a TV reporter (nods. Laughs.) This just in. Okay (holds hand up for high-fives)," (Exhales) Okay. Moment of truth. Wish me luck. (Exhales) |  Kiss her, Ted. Kiss her good.",2
" Marshall, remember this night. When you're the best man at our wedding and you give a speech, you're goanna tell this story. (exits cab)", Why does he get to be the best man? (Shouts out) I'M YOUR BEST FRIEND!," Marshall, remember this night. When you're the best man at our wedding and you give a speech, you're goanna tell this story. (exits cab) |  As I walked up to that door a million thoughts raced through my mind. Unfortunately, one particular thought did not.",1
 Go back in there!, You're wearing a suit!, Go back in there! |  (from window) Ted?,1
 He's in.," So, (looks to the cabdriver) Ranjit... you must've done it with a Lebanese girl.", He's in. |  Okay-that's my Barney Limit. (Starts to leave the cab) I'm goanna see if that Bodega has a bathroom. (Leaves),2
" Actually, I'm from Bangladesh.", The women hot there?," Actually, I'm from Bangladesh. |  Here's a picture of my wife! (Shows picture)",1
 Here's a picture of my wife! (Shows picture), (Whispers to Marshall) Simple no would have sufficed. (To Ranjit) She's lovely.," Here's a picture of my wife! (Shows picture) |  So, Ted. What brings you back to Brooklyn at one in the morning in a-suit.",1
 (Looks up and mouths) Thank you.," So, Marshall. This Olive Theory based on you and Lily?", (Looks up and mouths) Thank you. |  Yeah...,2
 Yeah...," You hate olives? Lily loves them, you can't stand them."," Yeah... |  Yeah, hate olives.",1
" Yeah, hate olives."," Two weeks ago, Spanish bar on 79th Street, dish of olives-you had some. What up?"," Yeah, hate olives. |  (looks around for sign of Lily) You have to swear that this does not leave this cab.",2
 (looks around for sign of Lily) You have to swear that this does not leave this cab., I swear., (looks around for sign of Lily) You have to swear that this does not leave this cab. |  (Cuts into conversation) I swear.,1
" On our first date, I ordered a Greek salad; Lily asked if she could have my olives. I said, Sure... I hate olives.", But you like olives!," On our first date, I ordered a Greek salad; Lily asked if she could have my olives. I said, Sure... I hate olives. |  Well, I was eighteen, okay? I was a virgin. Been waiting for my whole life for a pretty girl to want my olives.",1
" Well, I was eighteen, okay? I was a virgin. Been waiting for my whole life for a pretty girl to want my olives."," Marshall, I'm going to get you an early wedding present. Don't get married."," Well, I was eighteen, okay? I was a virgin. Been waiting for my whole life for a pretty girl to want my olives. |  I think I like your Olive Theory.",2
 What?," Come on man, you said your stomach's been hurting, right? You know what that is! Hunger. You're hungry for experience. Hungry for something new. Hungry for olives. But you're too scared to do anything about it."," What? |  Yeah, I'm scared, okay? But when I think about spending the rest of my life with Lily... committing forever, no other women (Lily appears behind Marshall in the open window) doesn't scare me at all. I'm marrying that girl. (Lily pops her head in from the window. Marshall turns around) Lily. Lily, I like olives.",1
 Olives. Thanks. I love you. What's wrong with me?," Why are we still sitting here? Let's go! We can still make last call. What do you say Lil? (Pirate Accent) Yo, ho ho and a bottle o' rum? (Silence) 'Cuz you're a pirate..."," Olives. Thanks. I love you. What's wrong with me? |  Okay, eye patch gone-(takes eye patch off and throws it at Barney) And we can't just abandon Ted. If it doesn't go well up there he's gonna need some support.",1
 It's been like twenty minutes. You think they're doin' it?, You think they're doing it in front of the dogs?, It's been like twenty minutes. You think they're doin' it? |  Doggie style. (Laughs),1
 Doggie style. (Laughs), I had this girl in college; she had a golden retriever-," Doggie style. (Laughs) |  Okay, we can go to the bar, just stop talking.",1
" Okay, we can go to the bar, just stop talking.", h*t it Ranjit. (They drive off)," Okay, we can go to the bar, just stop talking. |  So when you tell this story to your friends, could you avoid the word psycho? I prefer...eccentric.",2
 That long lingering handshake-you should've kissed her!, There's no such thing as the signal. But yeah-that was the signal., That long lingering handshake-you should've kissed her! |  Signal (nods),2
" Guys, trust me. I've seen the signal. That was not the signal."," Yeah Ted, we're not on you anymore."," Guys, trust me. I've seen the signal. That was not the signal. |  (Toasting) To my fianc'!",1
" Right, so (While Flashbacks take place) back in 2005 when I was twenty-seven, my two best friends got engaged. And it got me thinking, Maybe I should get married. Then I saw... Robin. She was incredible. I just knew I had to meet her. That's where your Uncle Barney came in."," I suggest we play a little game I like to call, Have you Met Ted?"," Right, so (While Flashbacks take place) back in 2005 when I was twenty-seven, my two best friends got engaged. And it got me thinking, Maybe I should get married. Then I saw... Robin. She was incredible. I just knew I had to meet her. That's where your Uncle Barney came in. |  No, no, no-we're not playing Have you Met Ted!",2
" No, no, no-we're not playing Have you Met Ted!", (Taps Robin's shoulder) Hi! Have you met Ted? (Leaves)," No, no, no-we're not playing Have you Met Ted! |  So I asked her out, and I know this sounds crazy... but after just one date, I was in love with her, which made me say something stupid",2
 I'm in love with her., (hits him) No! As your sponsor I will not let you relapse. You blew it; it's over-move on., I'm in love with her. |  I don't know! I just have this feeling. She's the future Mrs. Ted Mosby.,2
 We are now-Casual," Yeah, cuz nothing says Casual like inviting a hundred people over just to Mac on one girl. Oh, and Lily-that's my leg.", We are now-Casual |  You waited five minutes to tell me that?,0
 Get her up to the roof and the roof takes care of the rest., What's so special about the roof?," Get her up to the roof and the roof takes care of the rest. |  Oh, the moon, the stars, the shimmering skyline. You can't not fall in love on that roof.",2
 We do it up there sometimes.," Solid plan, my little friend.", We do it up there sometimes. |  We're the same height.,2
 We're the same height., But may I suggest one little modification.," We're the same height. |  That foxy young thing you were chatting up, take her up to the roof and have sex with her! Crazy monkey-style.",2
 But may I suggest one little modification.," That foxy young thing you were chatting up, take her up to the roof and have sex with her! Crazy monkey-style.", But may I suggest one little modification. |  That's not the plan.,1
 That's not the plan.," Should be the plan, I mean look at her. Ted, look at her. She's smokin'!", That's not the plan. |  Thank you.,2
" Yeah, but she's not Robin."," Exactly! Ted, let's wrap. Statistic, at every New York party there's always a girl who has no idea whose party she's at. She knows no one you know, and you will never see her again. Do you see-where I'm going-hu-with this?"," Yeah, but she's not Robin. |  Barney, I don't wanna say-",2
" Barney, I don't wanna say-"," Aargh! (Pulls down imaginary scope) Scoping, beep, scoping, beep!"," Barney, I don't wanna say- |  Man you're a dork.",2
 Man you're a dork.," beep, beep, beep, beep. Target acquired! And now it's time we play a little game I like to call Have You Met Ted?"," Man you're a dork. |  No, come on not this.",1
" No, come on not this.", (taps woman) Hi! Have you met Ted?," No, come on not this. |  No.",2
 Hi., Do you know Marshall? Lily?, Hi. |  No. (smiles),1
 No. (smiles)," Hmm, do you know anyone at this party?", No. (smiles) |  I work with Carlos.,2
 I work with Carlos.," Excuse me, (to group) Anyone know a Carlos?", I work with Carlos. |  No.,2
 No., On a silver platter! Bon appetite!, No. |  I don't think so.,2
 I don't think so.," Your loss, her gain. (To Tatiana) Excuse me, can I show you the roof? It's magical up there!", I don't think so. |  Sure (Smiles),2
 Whoa-whoa-Hey hey. I got that roof reserved!," Dude, Robin's not coming."," Whoa-whoa-Hey hey. I got that roof reserved! |  Hey, she's goanna show up. (Silence) She'll show up.",1
 I'm the luckiest girl alive (runs into bedroom. Marshall strips.)Scene Five," Oh, you were so right about the roof. The roof. The roof is on f*re, Ted! Girl from last night, took her back to my place then this morning took her outside, spun her around a couple of times sent her walking-she will never find her way back and there she is. How did she get here? Did you invite her?", I'm the luckiest girl alive (runs into bedroom. Marshall strips.)Scene Five |  I have no idea who that is.,2
 I have no idea who that is.," She said she works with Carlos, who's Carlos?", I have no idea who that is. |  I don't know any Carlos.,2
 I don't know any Carlos.," Grr. (Turns around) Hi, you. You're back."," I don't know any Carlos. |  I sure am (kisses Barney). Come on, sweetie, I need a drink.",1
" I sure am (kisses Barney). Come on, sweetie, I need a drink.", sweetie? Really? (They walk into the kitchen Barney mouths) Sweetie?," I sure am (kisses Barney). Come on, sweetie, I need a drink. |  Whoa-Whoa rabbits! Come on, I got that roof reserved.",1
 Alright.," So, it's over between me-and-works with Carlos girl."," Alright. |  Oh, that was fast.",1
" Oh, that was fast."," Yeah, I was trying to think what's the quickest way to get rid of a girl you just met?"," Oh, that was fast. |  I think I'm in love with you.",2
" Yeah, I was trying to think what's the quickest way to get rid of a girl you just met?", I think I'm in love with you.," Yeah, I was trying to think what's the quickest way to get rid of a girl you just met? |  What?",1
 What?," Thanks, bro (walks away)", What? |  (straight-faced) Glad I could help.,1
 So I threw a third party for Robin. On a Sunday night (Very Little people in the apartment)," Oh, this is lame.", So I threw a third party for Robin. On a Sunday night (Very Little people in the apartment) |  lame or Casual?,1
 lame or Casual?, lame., lame or Casual? |  Or Casual?,2
" Hello, Barney.", Of course.," Hello, Barney. |  You look well. Isn't it weird they invited both of us?",2
 You look well. Isn't it weird they invited both of us?, Who? Who invited you? No one even know who you are!," You look well. Isn't it weird they invited both of us? |  I understand you're hurt, but, you don't have to be cruel. Carlos was right about you.",2
" I understand you're hurt, but, you don't have to be cruel. Carlos was right about you.", Who is Carlos!?," I understand you're hurt, but, you don't have to be cruel. Carlos was right about you. |  Okay, where the hell is my-OHH! (Book has been used as coaster, all wet) Okay, introduction to contract work institution statutes from'65 to'23...is not a coaster! Ted! I'm jeopardizing my law career so that you can throw not one, not two, but three parties for some girl that you just met who's probably not gonna show up. (Ted's shocked) I mean where is she, Ted, huh? Where's Robin? (Finds Robin) Hi! Hi Robin. (Throws book on the floor and grabs Lily for sex)",1
 She's not just one of them she's the one.," Yeah well, the one is heading up to the roof. (Robin leaves to the roof with Carlos)", She's not just one of them she's the one. |  What are you gonna do?,1
" My friends are goanna love you-like you-you know, as a friend. (Robin giggles) Jackass."," Unbelievable. That is just a recipe for disaster, they work together (Carlos and Tatiana are making out)"," My friends are goanna love you-like you-you know, as a friend. (Robin giggles) Jackass. |  You jealous?",2
 You jealous?," Oh, please, what does Carlos have that I don't?", You jealous? |  a date tonight?,1
 Ohh!!, I'm not sure I like her.," Ohh!! |  Hey, don't you have a paper to write?",1
 What's wrong with MacLaren's?," (On Phone) MacLaren's is bore, snore. Ted, tonight we're going to go out. We're going to meet some ladies. It's going to be legendary. Phone-five! (High-fives the phone)", What's wrong with MacLaren's? |  I had no idea why I hung out with Barney.,2
 I had no idea why I hung out with Barney.," You didn't phone-five did you? I know when you don't phone-five, Ted. Come on, we always go to MacLaren's."," I had no idea why I hung out with Barney. |  Yeah, cause MacLaren's is fun...",1
" Yeah, cause MacLaren's is fun...", MacLaren's is this much fun. What I'm offering is the chance to have this much fun.," Yeah, cause MacLaren's is fun... |  See, you say that. You say it's going to be this much fun. But most of the time it ends up being this much fun. This much fun is good! It's safe. It's guaranteed!",2
" See, you say that. You say it's going to be this much fun. But most of the time it ends up being this much fun. This much fun is good! It's safe. It's guaranteed!"," This hand gesture thing doesn't really work on the phone, does it?"," See, you say that. You say it's going to be this much fun. But most of the time it ends up being this much fun. This much fun is good! It's safe. It's guaranteed! |  No it doesn't.",1
 No it doesn't., Get in the cab. Marshall you too.," No it doesn't. |  Oh, I wish I could... I think Lily and I are just goi...",2
" Oh, I wish I could... I think Lily and I are just goi...", I understand. (To Ted) Get in the cab.," Oh, I wish I could... I think Lily and I are just goi... |  Why can Marshall say no?",2
 Why can Marshall say no?, Uhh... because he's getting laid., Why can Marshall say no? |  Consistently.,1
 Consistently.," (Doing I see you hand motion) Ted, Ted, Ted. Right here. You keep going to the same bar, you're in a rut and I am a rut buster. I'm going to bust your rut (Smiles)."," Consistently. |  It's not a rut, okay. It's a routine and I like it!",2
" It's not a rut, okay. It's a routine and I like it!"," Ted, what's the first syllable in rutting (trying to make it sound like routine. Ted gives in and jumps in the cab) Peace out, suckers. (Cab speeds off.)"," It's not a rut, okay. It's a routine and I like it! |  Alright, so what's this legendary plan.",2
" Alright, so what's this legendary plan.", First we got to pick someone up at the airport.," Alright, so what's this legendary plan. |  Okay, I'm outta here.",1
" Okay, I'm outta here."," (To cabdriver) Estaban, doors! (Cab doors lock)"," Okay, I'm outta here. |  Just this one little thing and the rest of the night is ours.",1
" (To cabdriver) Estaban, doors! (Cab doors lock)", Just this one little thing and the rest of the night is ours.," (To cabdriver) Estaban, doors! (Cab doors lock) |  Why do you have those suitcases, and who are we picking up?",1
" Why do you have those suitcases, and who are we picking up?", I don't know. Maybe her? Or her.," Why do you have those suitcases, and who are we picking up? |  Wait so when you said you were going to pick someone up at the airport. You meant you were going to pick someone up at the airport.",2
 Wait so when you said you were going to pick someone up at the airport. You meant you were going to pick someone up at the airport.," (winks) Scenario. Couple of girls fly into town, looking for a fun weekend in NYC when they meet two handsome international business men just back from a lucrative trip to Japan. Sample dialogue, You have a wheelie bag? Wh... I have a wheelie bag!", Wait so when you said you were going to pick someone up at the airport. You meant you were going to pick someone up at the airport. |  You've gotta be kidding me.,1
 You've gotta be kidding me.," False. Sidebar, tuck in your shirt. You look sketchy.", You've gotta be kidding me. |  I'm sketchy?,2
 I'm sketchy?," Trust me, it's going to be legendary."," I'm sketchy? |  Don't say legendary, okay? You're too liberal with the word legendary.",2
" Don't say legendary, okay? You're too liberal with the word legendary.", We're building an igloo in Central Park. It's gonna be legendary. Snow suit up!," Don't say legendary, okay? You're too liberal with the word legendary. |  Ted, Ted, Ted. Right here! This is happening. Now you can either put your bags on the carousel now, or you can listen to me give you a really long speech convincing you to put the bags on the carousel. Your move. (Silence) Ted, since the dawn of time mankind has struggled... (Ted puts bags on carousel)",2
 We're building an igloo in Central Park. It's gonna be legendary. Snow suit up!," Ted, Ted, Ted. Right here! This is happening. Now you can either put your bags on the carousel now, or you can listen to me give you a really long speech convincing you to put the bags on the carousel. Your move. (Silence) Ted, since the dawn of time mankind has struggled... (Ted puts bags on carousel)"," We're building an igloo in Central Park. It's gonna be legendary. Snow suit up! |  That night, Marshall had a ton of studying to do. So Lily went out with Robin who was new to New York and looking for a friend.",1
" (To waiting woman) So...uh, did you just get in from Detroit? (Points to self) Japan. (Woman leaves)"," Okay, carousel four is tapped out. Ready? Because I'm about to drop some knowledge. Cute girls are not from Buffalo. Time-out. Ten o'clock. You ready to rock this, Tedder?"," (To waiting woman) So...uh, did you just get in from Detroit? (Points to self) Japan. (Woman leaves) |  Alright, um, I think we need to refine our back-story first. How did we...",1
" Alright, um, I think we need to refine our back-story first. How did we..."," Ted, you klutzy, great guy, you! (Barney shoves Ted into two lady's cart and Ted trips backwards. To Women) Hey, Barney. (Adjusts tie)"," Alright, um, I think we need to refine our back-story first. How did we... |  Oh, my god. (To Ted) Are you okay?",2
 Philadelphia., Philly? That's where we're headed!, Philadelphia. |  You are? Well...uh...guess we'll see you on the plane.,1
 You are? Well...uh...guess we'll see you on the plane.," Yes, you will. (Girls leave. To Ted) Follow them, tickets on me."," You are? Well...uh...guess we'll see you on the plane. |  No, Barney. Don't you get on that escalator! And don't you dare get on that subsequent escalator!",1
 (on Phone) That is awesome.," Hey, is that Marshall? (Takes Phone) Marshall, stop whatever you're doing, get in that hoopty-ass Vierro of yours and come meet us in Philly. It's going to be legendary."," (on Phone) That is awesome. |  (on Phone) Man, I wish I could, guys, but...",2
" (on Phone) Man, I wish I could, guys, but..."," Yeah, yeah, yeah... I sent you some pictures on my phone, check it. (Pictures show Barney doing I see you hang gesture) Philly! (Hangs up. To Ted) Admit it, you're having fun. This much fun. Thirty-five thousand feet of fun!"," (on Phone) Man, I wish I could, guys, but... |  Well I didn't think we'd be on a flying to Philadelphia when I woke up this morning, I'll give you that.",2
" Well I didn't think we'd be on a flying to Philadelphia when I woke up this morning, I'll give you that.", Let's go talk to those girls.," Well I didn't think we'd be on a flying to Philadelphia when I woke up this morning, I'll give you that. |  Whoa, whoa, whoa, the seatbelt light is on.",1
" Whoa, whoa, whoa, the seatbelt light is on."," Ted, you've been living your whole life in a seatbelt. It's time to unclick. (Unclicks)"," Whoa, whoa, whoa, the seatbelt light is on. |  (Walks by) Sir, seatbelt light's on.",1
" (Walks by) Sir, seatbelt light's on."," (sits back down) Yeah, sorry, sorry."," (Walks by) Sir, seatbelt light's on. |  So I grew up in Park Slope.",2
 (On Phone) Fine! (Hangs up)," (To Ted) No! No! The night is just started. Look, airport bar. Flight attendants! They'll get your tray table at its full upright position. Say what? (Goes for a high five)"," (On Phone) Fine! (Hangs up) |  Passengers Mosby and Stinson? Please come with us, gentlemen. Keep your hands where I can see them.",2
" Barney, I am going to k*ll you."," Don't say you're going to k*ll someone in front of airport security, not cool. (To security) Not cool."," Barney, I am going to k*ll you. |  This is an outrage. We are international businessmen on an international business trip. I demand you release us immediately.",2
" Don't say you're going to k*ll someone in front of airport security, not cool. (To security) Not cool.", This is an outrage. We are international businessmen on an international business trip. I demand you release us immediately.," Don't say you're going to k*ll someone in front of airport security, not cool. (To security) Not cool. |  You demand!? No, no, no, no, no... he does not demand. We... we... we have no demands!",2
" We got footage of you placing two bags on JFK carousel three, and abandoning them to purchase a last minute flight with cash.", (To Ted) Those bags were your responsibility.," We got footage of you placing two bags on JFK carousel three, and abandoning them to purchase a last minute flight with cash. |  They were your bags.",1
" Look, this is all just... it's a misunderstanding.", (Stopping him) Please. (Silence) We are international businessmen. My colleague accidentally left the bags there now please let us go before we miss our international business meeting.," Look, this is all just... it's a misunderstanding. |  Can't remember the last time I saw an international business man with an untucked shirt. In addition, we received this footage taken over the last few months.",2
" Can't remember the last time I saw an international business man with an untucked shirt. In addition, we received this footage taken over the last few months."," Believe it or not, that duff bag thing worked."," Can't remember the last time I saw an international business man with an untucked shirt. In addition, we received this footage taken over the last few months. |  Truth is, my friend... he does this thing where he goes to airports with fake luggage to pick up girls and we followed some here to Philadelphia. That's it! That's all this is!",1
" Yes, he's that lame. Tell them you're that lame!", We are international businessmen...," Yes, he's that lame. Tell them you're that lame! |  OH COME ON!",1
 Sir! Lower your voice or we'll restrain you.," Dude, seriously, relax.", Sir! Lower your voice or we'll restrain you. |  We at least get to call our lawyer.,1
 We at least get to call our lawyer., Exactly! (To Ted) We have a lawyer?," We at least get to call our lawyer. |  (On Phone) Listen to me, you're both American citizens. Don't let them pull any patriot-act voodoo. You both retain the right to refuse to answer any questions without an attorney present so don't say anything until I get there, alright? Okay, goodbye (Hangs up. Sings) To Philly! The adventure continues! Destroy!",2
 You had to play the race card.," Relax, Ted. We didn't do anything wrong. And, B.T.W, we'd be out of here by now if you'd have tucked in your shirt. (Ted turns his head to face away from Barney)"," You had to play the race card. |  Go ahead, JFK... what is the baggage status?",2
" (On Phone) No, we can't just... we're going home!", (To Ted) We're going to Sascha's?," (On Phone) No, we can't just... we're going home! |  Who the hell is Sascha?",2
 Who the hell is Sascha?, Sascha. (Points to Security Woman) She's having friends over for drinks at her house. It's goanna be legen... wait for it...and I hope you're not lactose intolerant 'cuz the second half of that word is... dairy., Who the hell is Sascha? |  No.,2
 No., Legendary!," No. |  (On Phone) Legendary, that sounds awesome!",1
 (On Phone. Sighs) Fine. (Beep) Hold on I have another call. (Presses button) Hello.," (On Phone) Marshall, we're going to Sascha's!"," (On Phone. Sighs) Fine. (Beep) Hold on I have another call. (Presses button) Hello. |  No, we're not.",1
" No, we're not."," (On Phone) Ted, Ted, Ted. (Does I'm watching you hand gesture) Yes, we are."," No, we're not. |  (On Phone With Ted) Sorry, Buddy, two against one. (hangs up)",2
" So, Barney and I h*t the town. Philadelphia, PA. Our first and only stop... Sascha's party."," So, uh... you're Sascha's friends, huh?"," So, Barney and I h*t the town. Philadelphia, PA. Our first and only stop... Sascha's party. |  You know it.",2
" (Comes down the stairs with drinks) You guys, keep the volume down. You're goanna wake my grandpa. Who wants hard lemonade? (They all take some)", Philly!," (Comes down the stairs with drinks) You guys, keep the volume down. You're goanna wake my grandpa. Who wants hard lemonade? (They all take some) |  Shh!",1
 Shh!, (Whispers) Philly!," Shh! |  Back at the bar, the girls night out wasn't going as Robin had hoped. (Cell Phone rings)",2
" (On Phone) No! Don't interrupt it's awesome. So the rings really off, huh? (Realizing what he's done) It's awesome... Well just tell her I called and... tell her that... she's awesome. (Hangs up. Sings dryly) Really, really awesome. Our relationship is built on mutual trust. (Dryly) I can't breathe!"," (Laughs) Did you hear that, Ted? Dana works security at the Liberty Bell."," (On Phone) No! Don't interrupt it's awesome. So the rings really off, huh? (Realizing what he's done) It's awesome... Well just tell her I called and... tell her that... she's awesome. (Hangs up. Sings dryly) Really, really awesome. Our relationship is built on mutual trust. (Dryly) I can't breathe! |  (Smiling) I do okay.",2
 (Smiling) I do okay., Wow it must be really well cornered off over there. You ever go behind the rope and touch it?, (Smiling) I do okay. |  Only all the time.,1
 Only all the time.," Ever, like, stick your head inside it?", Only all the time. |  Yeah.,2
 Yeah., D'you ever lick it?," Yeah. |  Nope, I have never licked it.",2
" Nope, I have never licked it.", Hmm... I bet nobody in history has ever licked the Liberty Bell! If someone were to pull that off I dare say it would be... what's the word?," Nope, I have never licked it. |  (Decides he's going to leave) Well, this is my stop.",2
" (Decides he's going to leave) Well, this is my stop."," Legendary, Ted, LEGENDARY!"," (Decides he's going to leave) Well, this is my stop. |  Barney, I'm going to the airport. Sascha, thank you... and uh... tell your grandpa I'm sorry I walked in on him in the bathroom. (Leaves)",2
 Hey!, Could have licked the Liberty Bell., Hey! |  We're going to the airport.,1
 We're going to the airport.," Bong, bong..."," We're going to the airport. |  Why do I hang out with you? Why? All I wanted was to have a regular beer, in a regular bar with my regular friends, in my regular city!",2
" Why do I hang out with you? Why? All I wanted was to have a regular beer, in a regular bar with my regular friends, in my regular city!"," Ted, Ted... you're not even looking."," Why do I hang out with you? Why? All I wanted was to have a regular beer, in a regular bar with my regular friends, in my regular city! |  No, I'm not.",2
" No, I'm not."," Look, our forefathers died for the pursuit of happiness, okay. Not for the sit around and wait of happiness. Now if you want, you can go to the same bar, drink the same beer talk to the same people everyday, or you can lick the Liberty Bell! You can grab life by the crack and lick the crap out of it!"," No, I'm not. |  That was beautiful, man!",1
" That was beautiful, man!"," Thanks, Leonard. Ted, you're missing out on a valuable life lesson!"," That was beautiful, man! |  Look, I don't need you to teach me how to live, okay. I know how to live. If you want to go lick the Liberty Bell just go lick it yourself.",1
